File Number,Rarity Score,Position
46,60002.05,1
692,58145.97,2
776,41979.13,3
939,40480.74,4
432,39431.90,5
861,37229.11,6
658,32050.61,7
347,31805.07,8
990,31649.16,9
345,29806.65,10
346,28461.34,11
479,28295.94,12
819,27890.20,13
934,27429.43,14
902,27404.45,15
584,27300.66,16
379,26648.09,17
766,26289.42,18
449,25687.39,19
423,25049.01,20
446,24688.80,21
434,24341.18,22
305,24131.35,23
115,23853.76,24
853,23713.05,25
673,23584.55,26
39,23460.73,27
705,23290.28,28
976,23101.66,29
275,22847.45,30
548,22359.06,31
764,22209.62,32
18,22103.30,33
464,21998.95,34
42,21949.50,35
842,21941.01,36
119,21911.14,37
812,21645.40,38
435,21358.38,39
443,21354.76,40
73,21198.69,41
125,20888.42,42
640,20815.16,43
651,20655.57,44
788,20589.43,45
470,20333.23,46
170,20328.59,47
217,20182.53,48
566,20008.96,49
146,19883.40,50
230,19709.26,51
549,19375.13,52
964,19350.44,53
382,19312.09,54
799,19308.67,55
474,19171.72,56
899,19001.13,57
359,18972.58,58
292,18651.72,59
159,18638.71,60
772,18631.26,61
280,18603.44,62
496,18504.97,63
366,18179.47,64
965,18168.05,65
310,18160.59,66
948,18135.43,67
480,18081.47,68
358,18057.09,69
852,18030.02,70
195,17833.35,71
611,17800.80,72
751,17798.01,73
293,17761.47,74
564,17688.83,75
198,17467.96,76
507,17426.55,77
175,17317.00,78
7,17284.92,79
647,17233.05,80
502,17227.12,81
926,17202.89,82
52,17111.79,83
745,17062.51,84
246,17009.15,85
455,16992.61,86
11,16903.75,87
272,16898.66,88
946,16814.37,89
921,16601.33,90
314,16567.86,91
489,16565.33,92
983,16415.18,93
770,16379.64,94
139,16360.29,95
362,16351.11,96
961,16298.62,97
805,16287.70,98
664,16137.29,99
763,16127.44,100
354,16076.14,101
684,15972.25,102
218,15963.66,103
339,15871.85,104
896,15777.37,105
107,15525.16,106
913,15431.82,107
968,15361.35,108
940,15312.03,109
950,15233.34,110
210,15140.91,111
161,15136.29,112
740,15113.44,113
823,15078.26,114
79,15035.61,115
406,15021.32,116
703,15003.17,117
870,14936.34,118
580,14926.77,119
889,14921.57,120
557,14763.36,121
718,14744.06,122
526,14736.38,123
248,14641.75,124
38,14607.53,125
514,14603.72,126
372,14601.98,127
685,14574.47,128
421,14532.42,129
918,14512.53,130
836,14493.35,131
24,14484.89,132
992,14457.18,133
232,14423.04,134
833,14336.18,135
762,14328.86,136
133,14272.23,137
660,14236.53,138
953,14226.71,139
696,14158.47,140
414,14130.26,141
203,14118.19,142
145,14089.51,143
798,14075.29,144
262,14034.76,145
106,14020.24,146
458,14015.81,147
873,13982.00,148
790,13960.45,149
881,13950.95,150
541,13933.68,151
851,13865.60,152
483,13849.83,153
783,13836.85,154
395,13827.46,155
737,13810.44,156
556,13759.15,157
929,13735.88,158
753,13733.36,159
738,13721.77,160
550,13700.26,161
959,13690.06,162
144,13680.60,163
733,13639.94,164
898,13629.44,165
643,13623.46,166
878,13587.91,167
80,13570.41,168
491,13564.39,169
504,13546.96,170
575,13532.40,171
688,13527.60,172
340,13389.36,173
821,13388.29,174
663,13364.44,175
525,13330.03,176
544,13329.07,177
993,13313.57,178
837,13306.57,179
239,13304.38,180
529,13303.38,181
311,13271.32,182
534,13265.60,183
189,13264.18,184
376,13237.93,185
998,13160.53,186
600,13128.20,187
182,13093.80,188
298,13086.99,189
124,13082.98,190
631,13043.69,191
621,13022.46,192
879,13004.63,193
45,12993.47,194
630,12972.48,195
989,12939.45,196
463,12897.03,197
815,12850.49,198
254,12847.71,199
229,12751.59,200
542,12723.88,201
602,12682.95,202
61,12661.62,203
638,12660.75,204
933,12660.35,205
674,12638.66,206
603,12633.58,207
179,12589.98,208
397,12567.26,209
994,12509.56,210
164,12498.26,211
830,12472.17,212
892,12457.51,213
240,12448.25,214
818,12430.65,215
911,12426.26,216
644,12368.22,217
553,12364.64,218
492,12306.04,219
595,12263.99,220
249,12263.40,221
326,12251.77,222
606,12249.63,223
509,12109.18,224
58,12107.52,225
253,12096.69,226
938,12092.81,227
506,12050.00,228
71,11971.96,229
573,11966.45,230
847,11943.01,231
828,11911.66,232
765,11907.68,233
37,11905.31,234
958,11877.60,235
1,11871.93,236
758,11858.35,237
221,11852.12,238
876,11843.00,239
429,11836.44,240
307,11802.75,241
171,11781.46,242
624,11778.14,243
505,11768.89,244
727,11766.91,245
586,11726.65,246
163,11665.78,247
787,11659.59,248
858,11629.86,249
551,11596.06,250
206,11579.51,251
563,11577.15,252
562,11547.01,253
282,11534.64,254
635,11529.10,255
330,11525.44,256
177,11514.88,257
102,11511.89,258
954,11509.63,259
667,11495.15,260
513,11487.70,261
499,11467.29,262
342,11463.38,263
576,11457.69,264
561,11429.44,265
914,11357.47,266
355,11356.18,267
224,11345.04,268
500,11329.18,269
335,11309.46,270
22,11294.96,271
151,11291.20,272
213,11285.89,273
863,11267.50,274
791,11257.61,275
6,11256.92,276
416,11255.58,277
801,11231.49,278
110,11208.32,279
625,11193.90,280
757,11192.97,281
945,11192.88,282
871,11189.88,283
680,11186.12,284
27,11185.05,285
16,11174.84,286
527,11151.62,287
937,11131.97,288
265,11128.25,289
225,11106.39,290
778,11085.23,291
281,11079.79,292
313,11075.45,293
408,11068.56,294
923,11048.23,295
352,11044.63,296
212,11031.76,297
136,11029.15,298
490,11014.33,299
735,10980.82,300
74,10962.21,301
895,10961.76,302
381,10957.84,303
694,10948.18,304
322,10940.94,305
497,10935.69,306
8,10923.82,307
410,10909.57,308
168,10899.91,309
142,10888.87,310
860,10858.52,311
519,10850.27,312
482,10846.47,313
467,10829.02,314
109,10822.87,315
716,10815.96,316
196,10800.70,317
319,10794.17,318
732,10784.57,319
767,10774.82,320
471,10773.48,321
639,10771.06,322
241,10746.03,323
220,10738.54,324
284,10717.01,325
531,10710.12,326
975,10695.60,327
560,10693.77,328
706,10662.46,329
166,10656.82,330
665,10647.16,331
832,10636.86,332
138,10632.37,333
469,10631.32,334
679,10629.25,335
186,10627.78,336
894,10618.67,337
127,10617.70,338
402,10616.65,339
50,10555.86,340
23,10545.36,341
957,10519.95,342
597,10501.89,343
160,10479.41,344
909,10477.40,345
494,10459.60,346
188,10457.29,347
31,10455.63,348
607,10430.81,349
90,10423.48,350
128,10420.95,351
619,10401.69,352
176,10400.81,353
207,10399.93,354
627,10392.93,355
169,10385.87,356
75,10376.27,357
904,10366.95,358
829,10357.54,359
459,10347.08,360
238,10341.34,361
89,10338.03,362
802,10336.99,363
344,10315.88,364
233,10309.33,365
622,10307.26,366
412,10307.09,367
134,10281.29,368
752,10252.74,369
634,10247.63,370
935,10247.28,371
533,10239.95,372
988,10236.24,373
742,10235.77,374
547,10227.80,375
960,10223.83,376
88,10215.42,377
108,10199.32,378
390,10162.93,379
279,10161.78,380
991,10154.59,381
460,10146.42,382
59,10138.63,383
596,10134.39,384
874,10132.75,385
809,10111.99,386
710,10107.12,387
897,10078.61,388
754,10073.95,389
632,10063.10,390
257,10046.13,391
428,10031.31,392
323,9986.21,393
981,9978.79,394
130,9965.04,395
44,9948.90,396
65,9935.46,397
350,9913.89,398
985,9912.79,399
55,9857.16,400
893,9840.13,401
715,9821.23,402
85,9819.38,403
730,9810.40,404
48,9805.46,405
605,9780.08,406
378,9761.78,407
391,9756.37,408
332,9727.18,409
537,9724.93,410
943,9724.22,411
276,9720.15,412
687,9703.52,413
771,9702.39,414
404,9692.23,415
123,9691.30,416
967,9688.44,417
466,9688.27,418
608,9677.31,419
306,9657.83,420
636,9646.02,421
559,9638.09,422
418,9636.00,423
478,9629.30,424
291,9622.79,425
457,9619.00,426
633,9618.33,427
885,9608.01,428
409,9607.07,429
880,9603.01,430
565,9599.93,431
681,9599.40,432
749,9599.19,433
185,9595.64,434
984,9594.83,435
299,9593.89,436
645,9583.66,437
761,9583.16,438
862,9579.41,439
255,9573.67,440
57,9562.09,441
12,9554.42,442
64,9552.60,443
572,9543.41,444
148,9530.83,445
671,9528.93,446
930,9505.66,447
285,9496.01,448
318,9477.19,449
741,9466.35,450
172,9465.53,451
251,9461.68,452
473,9458.89,453
750,9453.25,454
411,9445.68,455
156,9414.54,456
389,9409.63,457
947,9407.15,458
683,9397.53,459
143,9392.50,460
956,9381.03,461
516,9379.68,462
41,9373.31,463
522,9360.28,464
806,9354.45,465
826,9353.41,466
919,9350.29,467
835,9333.55,468
916,9330.17,469
986,9317.07,470
538,9315.75,471
612,9314.66,472
623,9308.30,473
637,9306.82,474
403,9306.35,475
120,9292.65,476
141,9219.75,477
702,9218.47,478
264,9198.23,479
348,9188.95,480
158,9175.47,481
129,9169.60,482
676,9150.45,483
711,9146.52,484
394,9129.30,485
484,9117.25,486
385,9113.46,487
887,9111.12,488
367,9092.18,489
793,9087.18,490
96,9060.07,491
36,9057.80,492
652,9052.41,493
328,9044.11,494
201,9042.58,495
803,9038.84,496
219,9032.56,497
420,9026.76,498
746,9021.92,499
392,9021.61,500
723,9018.39,501
905,9017.59,502
641,9010.67,503
10,9007.10,504
781,9000.65,505
511,8980.20,506
430,8968.08,507
813,8964.48,508
834,8963.73,509
686,8946.66,510
707,8935.74,511
712,8928.56,512
493,8893.52,513
5,8857.16,514
864,8840.46,515
300,8830.53,516
131,8827.60,517
944,8824.54,518
932,8807.23,519
270,8800.17,520
368,8799.86,521
271,8779.52,522
465,8774.26,523
782,8751.19,524
589,8750.11,525
785,8723.34,526
287,8719.35,527
104,8706.22,528
666,8675.90,529
162,8672.94,530
501,8669.35,531
906,8660.44,532
21,8656.25,533
669,8641.84,534
43,8636.52,535
9,8628.69,536
60,8625.05,537
626,8624.56,538
415,8621.05,539
288,8619.68,540
689,8619.12,541
701,8619.05,542
283,8598.88,543
94,8596.08,544
657,8594.97,545
908,8588.90,546
353,8571.76,547
655,8568.83,548
594,8564.36,549
113,8564.10,550
859,8562.55,551
739,8549.79,552
33,8536.28,553
693,8532.80,554
436,8528.23,555
609,8521.02,556
510,8511.19,557
978,8509.15,558
831,8499.03,559
132,8495.40,560
290,8490.05,561
907,8486.76,562
475,8478.78,563
508,8478.38,564
690,8466.36,565
383,8450.79,566
825,8438.93,567
517,8435.46,568
884,8433.32,569
439,8433.19,570
405,8432.28,571
569,8422.87,572
982,8415.40,573
278,8406.89,574
695,8406.37,575
28,8401.14,576
554,8400.52,577
857,8386.83,578
875,8382.26,579
454,8376.89,580
70,8349.03,581
618,8346.94,582
67,8332.65,583
601,8329.64,584
971,8325.42,585
343,8317.89,586
126,8312.41,587
571,8305.26,588
242,8294.02,589
850,8285.72,590
441,8285.25,591
26,8280.73,592
614,8264.62,593
487,8255.25,594
256,8252.52,595
173,8240.68,596
269,8236.91,597
103,8230.06,598
178,8225.25,599
922,8194.16,600
604,8184.05,601
117,8170.05,602
154,8162.96,603
924,8160.06,604
654,8158.85,605
209,8135.81,606
40,8132.97,607
963,8124.51,608
152,8120.81,609
845,8120.16,610
98,8101.79,611
407,8101.22,612
327,8092.37,613
453,8090.17,614
87,8083.77,615
545,8080.85,616
266,8075.70,617
320,8063.52,618
980,8050.76,619
581,8047.63,620
325,8043.35,621
714,8028.78,622
20,8027.44,623
86,8020.63,624
744,8004.72,625
174,7996.91,626
590,7990.70,627
672,7990.25,628
662,7975.56,629
211,7959.68,630
543,7958.27,631
97,7941.38,632
891,7938.71,633
53,7927.72,634
570,7913.89,635
234,7888.16,636
150,7886.87,637
263,7881.65,638
966,7880.12,639
364,7874.76,640
925,7873.54,641
361,7870.61,642
822,7861.33,643
743,7857.14,644
512,7852.44,645
302,7839.92,646
165,7823.87,647
617,7823.15,648
521,7803.71,649
588,7802.82,650
540,7800.42,651
759,7798.86,652
371,7788.32,653
720,7779.68,654
620,7777.25,655
374,7775.46,656
244,7775.23,657
387,7747.28,658
34,7740.63,659
883,7740.54,660
682,7731.53,661
779,7731.41,662
675,7730.41,663
642,7729.21,664
546,7727.30,665
920,7714.19,666
810,7714.13,667
599,7705.50,668
69,7700.60,669
56,7692.31,670
515,7679.82,671
488,7669.83,672
116,7657.34,673
849,7656.97,674
19,7653.59,675
427,7650.56,676
646,7642.08,677
814,7628.47,678
977,7625.27,679
258,7623.91,680
997,7612.81,681
237,7607.58,682
433,7590.37,683
722,7578.84,684
797,7575.28,685
903,7567.80,686
552,7549.97,687
338,7546.57,688
648,7543.51,689
99,7541.78,690
615,7537.22,691
199,7533.83,692
223,7530.57,693
472,7516.27,694
252,7506.56,695
808,7506.32,696
865,7503.29,697
731,7501.73,698
498,7491.78,699
912,7489.67,700
375,7485.38,701
866,7479.39,702
135,7469.76,703
426,7464.71,704
786,7460.69,705
477,7459.80,706
448,7459.30,707
532,7443.60,708
868,7433.91,709
183,7413.04,710
333,7401.78,711
558,7383.61,712
312,7375.93,713
236,7371.23,714
13,7367.97,715
17,7363.92,716
574,7361.70,717
149,7360.79,718
774,7357.45,719
653,7356.19,720
747,7348.47,721
973,7328.87,722
356,7327.78,723
848,7327.29,724
724,7322.03,725
35,7298.90,726
324,7296.89,727
289,7290.90,728
780,7289.67,729
295,7285.85,730
481,7278.44,731
208,7278.25,732
393,7273.85,733
755,7268.70,734
840,7266.58,735
816,7265.09,736
51,7262.80,737
14,7237.85,738
768,7220.95,739
650,7217.11,740
32,7208.38,741
867,7202.84,742
363,7194.38,743
337,7190.99,744
370,7183.87,745
268,7158.12,746
155,7145.03,747
796,7138.64,748
817,7127.84,749
424,7123.96,750
222,7121.43,751
886,7110.67,752
400,7105.51,753
709,7105.17,754
316,7098.84,755
315,7095.23,756
388,7087.36,757
72,7084.80,758
949,7068.10,759
854,7067.49,760
140,7050.69,761
910,7033.74,762
301,7033.48,763
84,7033.46,764
717,7025.82,765
308,7013.20,766
969,7010.68,767
417,7004.56,768
286,7000.24,769
713,7000.16,770
678,6996.52,771
447,6992.89,772
567,6988.23,773
888,6988.03,774
530,6987.61,775
729,6985.99,776
468,6980.58,777
202,6966.74,778
670,6963.78,779
197,6956.07,780
386,6954.77,781
351,6948.86,782
568,6944.64,783
191,6939.36,784
451,6937.65,785
585,6931.26,786
485,6909.53,787
882,6909.22,788
461,6884.83,789
736,6871.23,790
357,6866.33,791
700,6865.19,792
167,6863.64,793
523,6845.22,794
999,6841.65,795
495,6835.06,796
180,6830.03,797
579,6816.31,798
78,6813.10,799
442,6809.69,800
734,6808.27,801
121,6800.69,802
30,6799.54,803
112,6797.52,804
321,6792.00,805
520,6780.62,806
872,6761.75,807
616,6759.22,808
769,6755.05,809
214,6753.59,810
777,6748.87,811
844,6710.99,812
800,6703.55,813
656,6689.80,814
972,6686.62,815
583,6685.14,816
979,6681.73,817
360,6680.47,818
101,6666.43,819
76,6663.73,820
260,6656.88,821
773,6651.89,822
93,6649.17,823
422,6634.03,824
915,6630.61,825
247,6627.80,826
297,6623.17,827
794,6620.17,828
917,6609.43,829
25,6600.65,830
304,6599.33,831
205,6574.95,832
190,6569.42,833
437,6566.78,834
699,6555.66,835
962,6525.58,836
193,6525.14,837
83,6522.45,838
704,6516.15,839
365,6507.19,840
54,6506.56,841
941,6502.28,842
235,6502.00,843
841,6491.02,844
184,6473.65,845
29,6459.98,846
401,6453.12,847
273,6420.50,848
970,6409.64,849
869,6401.90,850
877,6386.07,851
456,6377.12,852
486,6371.92,853
450,6370.96,854
598,6370.42,855
1000,6364.47,856
928,6338.65,857
539,6328.61,858
118,6326.44,859
396,6319.83,860
294,6317.85,861
824,6316.91,862
807,6313.46,863
440,6307.66,864
296,6306.60,865
15,6292.82,866
122,6285.85,867
901,6273.61,868
927,6262.46,869
555,6259.77,870
63,6247.41,871
974,6244.99,872
380,6227.46,873
890,6214.74,874
839,6213.78,875
996,6202.25,876
114,6197.99,877
784,6180.05,878
231,6179.62,879
303,6179.62,880
827,6171.41,881
227,6161.60,882
592,6152.16,883
649,6120.59,884
111,6098.41,885
341,6089.03,886
995,6084.31,887
936,6078.63,888
444,6063.07,889
846,6055.49,890
105,6047.10,891
677,6034.86,892
398,6008.58,893
811,5992.56,894
725,5992.42,895
721,5974.71,896
216,5970.24,897
317,5968.60,898
49,5966.82,899
536,5954.37,900
419,5938.47,901
192,5931.64,902
3,5927.04,903
577,5921.44,904
856,5919.56,905
100,5918.84,906
795,5912.29,907
591,5909.00,908
518,5884.10,909
792,5880.88,910
708,5868.41,911
62,5860.75,912
153,5857.30,913
524,5835.40,914
719,5825.77,915
81,5810.64,916
137,5789.96,917
369,5783.19,918
789,5763.15,919
955,5758.56,920
900,5755.66,921
659,5714.42,922
952,5707.36,923
215,5690.95,924
668,5654.93,925
748,5635.40,926
92,5635.03,927
462,5622.06,928
349,5622.05,929
587,5591.13,930
47,5547.46,931
66,5532.37,932
413,5500.38,933
613,5497.37,934
503,5487.79,935
384,5467.02,936
259,5462.51,937
200,5449.81,938
691,5443.24,939
425,5404.28,940
431,5401.60,941
445,5391.21,942
194,5381.68,943
147,5360.08,944
578,5356.19,945
610,5337.93,946
250,5303.09,947
4,5291.19,948
95,5283.18,949
838,5270.82,950
82,5269.02,951
775,5250.57,952
243,5241.88,953
226,5237.25,954
661,5211.53,955
582,5197.31,956
334,5193.51,957
309,5191.86,958
528,5160.31,959
399,5149.82,960
535,5104.98,961
942,5092.50,962
951,5081.31,963
157,5050.91,964
931,5045.73,965
438,5033.62,966
726,5021.63,967
628,5015.17,968
760,4960.71,969
277,4956.17,970
68,4954.38,971
843,4916.60,972
228,4903.69,973
756,4856.99,974
593,4834.74,975
187,4824.32,976
267,4802.77,977
377,4793.91,978
91,4788.72,979
181,4781.08,980
2,4772.22,981
987,4672.28,982
476,4655.25,983
820,4647.67,984
331,4608.00,985
697,4582.50,986
77,4567.26,987
261,4566.11,988
274,4523.72,989
245,4468.92,990
373,4465.56,991
629,4457.42,992
452,4345.61,993
698,4328.53,994
728,4227.27,995
204,4226.65,996
329,4181.89,997
336,4125.44,998
855,4087.43,999
804,3791.39,1000
